eredetiCim;magyarCim;bemutato;forgalmazo;bevel;latogato
Sweet Country;Veszett vidék;2018.04.19;ADS;1416465;923
Avengers: Infinity War;Bosszúállók – Végtelen háború;2018.04.26;Forum;316795665;204408
Charming;Bűbáj herceg és a nagy varázslat;2018.04.26;ADS;6501810;4475
Belle et Sébastien 3: Le Dernier Chapitre;Belle és Sébastien 3 - Mindörökké barátok;2018.04.26;Vertigo;2317195;1860
Visages villages / Faces Places;Arcélek, útszélek;2018.04.26;Cinefilco;305000;216
A Quiet Place;Hang nélkül;2018.05.03;UIP;41303665;28721
Blockers;Szűzörség;2018.05.03;UIP;29063695;20117
Taxi 5;Taxi 5;2018.05.03;Big Bang Media;14925710;10290
A Quiet Place;Hang nélkül;2018.05.03;UIP;11855945;8072
Isle of Dogs;Kutyák szigete;2018.05.03;Forum;4767231;3345
Life of the Party;A partiállat;2018.05.10;InterCom;37307318;25155
7 Days is Entebbe;7 vérfagyasztó nap;2018.05.10;InterCom;5486995;3437
Dans la brume;Egy lélegzetnyire;2018.05.10;Big Bang Media;3453345;2247
Revenge;A bosszú;2018.05.10;ADS;2082000;1337
How to Talk to Girls at Parties;Így csajozz egy földönkívülivel;2018.05.10;Hungaricom;929350;1097
Deadpool 2;Deadpool 2;2018.05.17;Forum;228793696;156131
You Were Never Really Here;Sosem voltál itt;2018.05.17;ADS;2618410;1632
Based On A True Story;Igaz történet alapján;2018.05.17;Cinetel;894570;700
Solo: A Star Wars Story;Solo: Egy Star Wars-történet;2018.05.24;Forum;147053993;94607
Book club;Könyvklub;2018.05.31;Freeman;35514725;24442
Overboard;Átejtve;2018.05.31;Forum;28752150;19997
Here Comes the Grump;Vigyázz, kész morc!;2018.05.31;ADS;4345900;3219
Jurassic World: Fallen Kingdom;Jurassic World: Bukott birodalom;2018.06.07;UIP;187606868;118953
Hereditary;Örökség;2018.06.07;Vertigo;12128755;8318
Tout Le Monde Debout;Szerelembe gurulva;2018.06.07;Hungaricom;6181140;4233
Show Dogs;Kutyaparádé;2018.06.14;InterCom;28721800;21779
I Feel Pretty;Túl szexi lány;2018.06.14;Big Bang Media;27382077;18921
Gotti;Gotti;2018.06.14;Big Bang Media;15856205;10225
Solsidan;Az élet napos oldala;2018.06.14;Vertigo;3129550;2577
La ch'tite famille;Vissza a gyökerekhez;2018.06.14;ADS;1885780;1171
Ocean's 8;Ocean's 8 - Az évszázad átverése;2018.06.21;InterCom;62736486;42758
Truth or Dare;Felelsz vagy mersz;2018.06.21;UIP;41466081;28854
Love, Simon;Kszi, Simon;2018.06.21;Forum;9527140;6847
Jim Knopf und Lukas der Lokomotivführer;Gombos Jim és Lukács, a masiniszta;2018.06.21;Vertigo;3336415;2627
Submergence;Merülés a szerelembe;2018.06.21;ADS;1123375;810
Sicario: Day of the Soldado;Sicario 2 – A zsoldos;2018.06.28;Freeman;18569684;12133
Escape Plan 2: Hades;Szupercella 2 : Hades;2018.06.29;Big Bang Media;23682835;15810
Incredibles 2;A hihetetlen család 2.;2018.07.05;Forum;125521246;86082
Tag;Haverok harca;2018.07.05;InterCom;33184896;23065
Adrift;Sodródás;2018.07.05;Freeman;19829819;13279
Cherchez la femme;Egy burka, egy nadrág;2018.07.05;MoziNet;1967491;1409
Daddy Cool;Papás babás;2018.07.05;ADS;1510065;968
Hotel Transylvania 3: Summer Vacation;Hotel Transylvania 3. - Szörnyen rémes vakáció;2018.07.12;InterCom;110245840;80083
Skyscraper;Felhőkarcoló;2018.07.12;UIP;54072322;33731
Mamma Mia! Here We Go Again;Mamma Mia! Sose hagyjuk abba;2018.07.19;UIP;168253494;122888
Ant-Man and the Wasp;A Hangya és a Darázs;2018.07.26;Forum;125747650;83229
Loving Pablo;Escobar;2018.07.26;Big Bang Media;42947180;28937
Leto;Nyár;2018.07.26;MoziNet;311680;225
Mission: Impossible - Fallout;Mission: Impossible - Utóhatás;2018.08.02;UIP;95432132;59753
Christopher Robin;Barátom, Róbert Gida;2018.08.02;Forum;19467478;14887
El Habitante;Ahol a gonosz lakik;2018.08.02;ADS;6593505;4379
The Meg;Meg - Az őscápa;2018.08.09;InterCom;87485465;53708
The Darkest Minds;Sötét elmék;2018.08.09;Forum;16683728;12245
Luis & the Aliens;Luis és a Zűrlények;2018.08.09;Big Bang Media;8519533;6196
A Prayer Before Dawn;A kíméletlen;2018.08.09;Vertigo;4916118;3324
Le retour du héros;Az én hősöm;2018.08.09;Big Bang Media;4768817;3333
The Spy Who Dumped Me;A kém, aki dobott engem;2018.08.16;Freeman;41389112;30042
The Equalizer 2;A Védelmező 2.;2018.08.16;InterCom;39607558;25587
The Stolen Princess;Az elrabolt hercegnő;2018.08.16;Vertigo;8582648;6251
Les dents, pipi et au lit / Full house;Szoba gyerekkel kiadó;2018.08.16;ADS;2313530;1583
Skate Kitchen;Skate Kitchen;2018.08.16;MoziNet;397198;339
I Am Not a Witch;Nem vagyok boszorkány;2018.08.16;Magyarhangya;270000;245
Alpha;Alfa;2018.08.23;InterCom;48845393;30501
Fack ju Göhte 3;Fák jú, Tanár úr! 3.;2018.08.23;Big Bang Media;47143575;34083
Slender Man;Az ismeretlen rém;2018.08.23;InterCom;17048863;12220
Under the Silver Lake;A kaliforniai rémálom;2018.08.23;Cinetel;1808202;1213
Bűbájosok;Bűbájosok;2018.08.30;Vertigo;6379025;4557
The Nun;Az apáca;2018.09.06;InterCom;118252599;79762
Destination Wedding;Végállomás : Esküvő;2018.09.06;Vertigo;11512638;7780
Redbad;Az utolsó pogány király;2018.09.06;Vertigo;2745245;1821
The Predator;Predator – A ragadozó;2018.09.13;Forum;60710398;38316
A Simple Favor;Egy kis szívesség;2018.09.13;Freeman;48881925;33899
Macskafogó;Macskafogó;2018.09.13;Pannonia;4173400;3423
Remélem legközlebb sikerül meghalnod :);Remélem legközlebb sikerül meghalnod :);2018.09.13;Vertigo;3531599;3021
Johnny English Strikes Again;Johnny English újra lecsap;2018.09.20;UIP;70513326;51160
Searching;Keresés;2018.09.20;InterCom;13758294;9318
Brillantissime;Briliáns válás;2018.09.20;ADS;2734700;2062
Smallfoot;Apróláb;2018.09.27;InterCom;45044645;32308
Peppermint;Peppermint - A bosszú angyala;2018.09.27;Freeman;22749126;15796
Napszállta;Napszállta;2018.09.27;MoziNet;19071408;15587
Hell Fest;Horror Park;2018.09.27;Big Bang Media;10418758;7060
BlacKkKlansman;Csuklyások;2018.09.27;UIP;8051738;5419
Ut?ya 22. juli;Utoya, július 22.;2018.09.27;Vertigo;1562264;1245
Volt egyszer egy téka;Volt egyszer egy téka;2018.09.27;Vertigo;492330;1010
Venom;Venom;2018.10.04;InterCom;165666214;104663
A Star is Born;Csillag születik;2018.10.04;InterCom;26286267;17411
Blue my Mind;Kéktől álmodom;2018.10.04;ADS;280880;195
Bad Times at the El Royale;Húzós éjszaka az El Royale-ban;2018.10.11;Forum;14000170;9619
I Still See You;Látlak;2018.10.11;Big Bang Media;5269200;3565
Dieses bescheuerte Herz;Az a hülye szív;2018.10.11;Big Bang Media;4757510;3194
Juliet, Naked;Meztelen Juliet;2018.10.11;InterCom;4152518;2675
Down a Dark Hall;Sötét folyosók;2018.10.11;ADS;2480950;1896
Das schweigende Klassenzimmer;A néma forradalom;2018.10.11;MoziNet;2441055;2969
First Man;Az első ember;2018.10.18;UIP;43653980;27165
Nyitva;Nyitva;2018.10.18;MegaFilm;24074810;16938
Patrick;Patrick - Ebbel szebb az élet;2018.10.18;Freeman;19058035;13795
Ploey - You Never Fly Alone;Pelyhes - Kalandra fel!;2018.10.18;ADS;5730281;4196
The Extraordinary Journey of the Fakir;A fakír, aki egy IKEA szekrényben ragadt;2018.10.18;Vertigo;4696000;3071
Halloween;Halloween;2018.10.25;UIP;37210802;40279
Mile 22;22 mérföld;2018.10.25;Freeman;16331095;17296
Goosebumps 2: Haunted Halloween;Libabőr 2 – Hullajó Halloween;2018.10.25;InterCom;15461880;16814
Den skyldige;A bűnös;2018.10.25;Vertigo;6430474;7837
Budapest;Legénybúcsú Bt.;2018.10.25;ADS;1986080;2146
Bohemian Rhapsody;Bohém rapszódia;2018.11.01;Forum;164901082;112526
The House with a Clock in its Walls;A végzet órája;2018.11.01;Freeman;20614210;14402
Hunter Killer;A Hunter Killer küldetés;2018.11.01;Big Bang Media;19661385;12693
X – A rendszerből törölve;X – A rendszerből törölve;2018.11.01;InterCom;19338134;12733
Dead in a Week: Or Your Money Back;Bérgyilkost fogadtam;2018.11.01;Vertigo;5829010;3814
The Girl in the Spider's Web;Ami nem öl meg;2018.11.08;InterCom;16219630;10907
Egy nap;Egy nap;2018.11.08;Vertigo;10401426;9449
Little Italy;Pizzarománc;2018.11.08;Freeman;9512936;6448
Ruben Brandt, a gyűjtő;Ruben Brandt, a gyűjtő;2018.11.08;MoziNet;3503048;3571
Fantastic Beasts: The Crimes of Grindelwald;Legendás állatok - Grindelwald bűntettei;2018.11.15;InterCom;169232983;106941
Belleville Cop;A belleville-i zsaru;2018.11.15;Big Bang Media;15446050;10281
Ruben Brandt, a gyűjtő;Ruben Brandt, a gyűjtő;2018.11.15;MoziNet;7655131;5395
Siberia;Gyémánthajsza;2018.11.15;ADS;4392630;2697
Girl;Lány;2018.11.15;Vertigo;731680;506
L'insulte / The Insult;A sértés;2018.11.15;MoziNet;482580;353
The Nutcracker and the Four Realms;A diótörő és a négy birodalom;2018.11.22;Forum;29606055;21038
Widows;Nyughatatlan özvegyek;2018.11.22;Forum;12646015;8240
Cinema Paradiso;Cinema Paradiso;2018.11.22;Cinenuovo;1268450;1103
Santa & Cie;A karácsony mentőakció;2018.11.29;ADS;18326736;13642
The House That Jack Built;A ház, amit Jack épített;2018.11.29;Vertigo;15065964;10124
Lengemesék 2.;Lengemesék 2.;2018.11.29;Vertigo;1906565;2155
The Grinch;A Grincs;2018.12.06;UIP;132128579;95127
BUÉK;BUÉK;2018.12.06;InterCom;53194595;36840
Robin Hood;Robin Hood;2018.12.06;Freeman;30628661;20948
Mara;Amikor lehunyod a szemed;2018.12.06;ADS;8383700;5581
Aquaman;Aquaman;2018.12.13;InterCom;138149318;85190
Second Act;Álommeló;2018.12.13;Freeman;28656290;19987
Spider-Man: Into the Spider-Verse;Pókember - Irány a Pókverzum;2018.12.13;InterCom;16616540;11404
Billionaire Boys Club;Milliárdos fiúk klubja;2018.12.13;ADS;4595385;2870
Bumblebee;Űrdongó;2018.12.20;UIP;44789986;30009
Mary Poppins Returns;Mary Poppins visszatér;2018.12.20;Forum;15715590;12061
Marry Me, Dude;Hozzám jössz, haver?;2018.12.20;Big Bang Media;6414180;4270
Loro;Silvio és a többiek;2018.12.20;MoziNet;1709976;1262
Mortal Engines;Ragadozó városok;2018.12.27;UIP;68991583;45697
Holmes and Watson;Holmes és Watson;2018.12.27;InterCom;31100200;21366
Rossz versek;Rossz versek;2018.12.27;Cirko Film;17023225;11463
Capt`n Sharky;Cápi kapitány;2018.12.27;ADS;1578405;1061
Mirai no Mirai;Mirai - Lány a jövőből;2018.12.27;MoziNet;1238105;886
Creed II;Creed II;2019.01.03;Forum;41909305;28198
Escape Room;Végtelen útvesztő;2019.01.03;InterCom;37871513;25622
Asterix: The Secret of the Magic Potion;Asterix : A varázsital titka;2019.01.03;Big Bang Media;14339969;10264
Todos lo saben;Mindenki Tudja;2019.01.03;MoziNet;12525350;8231
The Kindergarten Teacher;A tanítónő;2019.01.03;ADS;936425;641
Ralph Breaks the Internet: Wreck-It Ralph 2;Ralph lezúzza a netet;2019.01.10;Forum;52884250;36682
A Dog's Way Home;Egy kutya hazatér;2019.01.10;InterCom;51588086;37607
The Mule;A csempész;2019.01.10;InterCom;24360607;15535
Journal 64;64-es betegnapló;2019.01.10;Vertigo;11954621;7846
Transit;Tranzit;2019.01.10;Vertigo;1188470;1126
Glass;Üveg;2019.01.17;Forum;98587472;64038
Kursk;Kurszk;2019.01.17;Big Bang Media;11023504;7106
Pájaros de verano / Birds of Passage;Az átkelés madarai;2019.01.17;MoziNet;844620;626
Instant Family;Instant család;2019.01.24;UIP;77563439;53790
Destroyer;Pusztító;2019.01.24;Big Bang Media;10477778;6596
Der kleine Drache Kokosnuss - Auf in den Dschungel!;Kókusz Kokó a kis sárkány - Irány a dzsungel!;2019.01.24;ADS;2186425;1461
Schindler's List;Schindler listája;2019.01.24;UIP;1522935;1443
Dogman;Dogman - Kutyák királya;2019.01.24;ADS;842887;466
Another Day of Life;Még egy nap élet;2019.01.24;Vertigo;276;493
Serenity;Vihar előtt;2019.01.31;Big Bang Media;31199604;19801
Mary Queen of Scots;Két királynő;2019.01.31;UIP;13800046;9195
Beautiful Boy;Csodálatos fiú;2019.01.31;MoziNet;5463060;3769
The Lego Movie 2: The Second Part;A Lego kaland 2;2019.02.07;InterCom;58450238;38934
The Prodigy;A csodagyerek;2019.02.07;Forum;29472760;19929
The Favourite;A kedvenc;2019.02.07;Forum;13027605;8409
Time Freak;Szerelmünk napjai;2019.02.07;Big Bang Media;6815575;4451
